;;;;;;Procurement Monthly Report;;;;;;;;;;;;;;;;;
Parameters;;;;;;;;;;;;;;;;;;;;;;;
Approved PR From Date;;;;;01/01/2024;;Approved PR to Date;;;31/01/2024;;;;;;;;;;;;;
Approved PO From Date;;;;;01/01/2024;;Approved PO to Date;;;31/01/2024;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PR TYPE;;;General;;Technical;;Total PR (PO);;;;;;;;;;;;;;;;
;;;57;;111;;168;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Urgent Type;;;AOG;;Urgent;;Normal;None;;;;;;;;;;;;;;;
;;;31;;63;;28;46;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PO Types;;;Single Source;;Competitive;;Sole Source;Direct Purchase;;;;;;;;;;;;;;;
;;;4;;30;;34;100;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Variation PO;;;PO Number;;Percentage of Total PO %;;Total Diff (SAR);;;;;;;;;;;;;;;;
;;;158;;59%;;-30,877,009.68;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Purchase Requisition No.;;;Purchase Order No.;;Department;;PR Amount (SAR);PO Amount (SAR);Diff Amount (SAR);PO Variation %;Savings;PO Status;Approved PO Date;Approved PR Date;Days;PR Type;PO Types;PO Discerption;Vendor name;Payments terms;;;
;;;;;;;;;;;(SAR;;;;;;;;;;;;
PR-240135;;;PO-240111;;?Operation?;;0.01;0;-0.01;-100%;;?Closed?;01/11/2024;01/10/2024;1;Technical;Direct Purchase ;PR Priority: AOG Model of aircraft: AW139 / TSN: 121:20 A/C Registration number: HZ-HC26 / MSN: 31991 Reason of Request: Weather radar test on ground not working. But the weather radar is working in Flight mode. Desc. Req.: WARRANTY;HONEYWELL INERNATIONAL ;Net 30;;;
PR-240074;;;PO-240112;;?Operation?;;24,975.60;28,203.03;-17,457.60;-70%;;?Closed?;30/01/2024;01/07/2024;23;Technical;Direct Purchase ;2024 AW139 Spares Planning & Efficiency Check - Wet Consumables + 48M. IMPORTANT: Shelf-life 80% or 3yrs more.;DONALDSON FILTRATION SOLUTIONS AEROSPACE & DEFENSE ;100% Advance;;;
PR-240105;;;PO-240115;;?Operation?;;1,725.05;1,725.64;-1,265.05;-73%;;?Closed?;14/01/2024;01/11/2024;3;Technical;Direct Purchase ;This is to purchase the extra QTY received from PO-232235 / AWB:020-45372935/PL: AOSL-DN701-23-24701-23-24. Please refer attached for more details;Aviation overseas supply logistics pvt ltd ;Net 30;;;
PR-240147;;;PO-240116;;?Operation?;;19,515.72;21,570.13;-14,311.79;-73%;;?Closed For Receiving?;14/01/2024;01/11/2024;3;Technical;Direct Purchase ;NORMAL / Stock for min/max for AW139.;Leonardo S.P.A ;Net 30;;;
PR-240145;;;PO-240118;;?Operation?;;300;300;0;0%;;?Open?;18/01/2024;01/11/2024;7;Technical;Direct Purchase ;Send for Calibration.;GCC Lab for Calibration Services ;Net 30;;;
PR-240133;;;PO-240119;;?Operation?;;2,000.00;2,000.00;0;0%;;?Open?;15/01/2024;01/11/2024;4;Technical;Direct Purchase ;"urgent / send for ""Top Charge""";first class aviation services ;Net 30;;;
PR-240152;;;PO-240121;;?Information Technology?;;1,715.00;1,310.32;-404.68;-24%;;?Closed?;15/01/2024;15/01/2024;0;General;Competitive ;Cartridges For AL Qassim base;Sky Information IT services ;Net 60;;;
PR-240107;;;PO-240123;;?Operation?;;0.01;0;-0.01;-100%;;?Open?;15/01/2024;01/11/2024;4;Technical;Direct Purchase ;PR Priority: NORMALModel of aircraft: AW139 / TSN: 1662:27A/C Registration number: HZ-HC4 / MSN:31269Reason: 1-2 YAW TRIM ACTUATOR FAIL MESSAGEDescription of requirement: TO BE SEND FOR REPAIR.;Leonardo S.P.A ;Net 30;;;
PR-240151;;;PO-240125;;?Information Technology?;;1,100.00;957;-143;-13%;;?Closed?;15/01/2024;15/01/2024;0;General;Direct Purchase ;Cartridges For Janadriyah base;Sky Information IT services ;Net 60;;;
PR-240125;;;PO-240126;;?Information Technology?;;3,430.00;2,620.64;-809.36;-24%;;?Closed?;15/01/2024;15/01/2024;0;General;Direct Purchase ;Cartridges for Alula base;Sky Information IT services ;Net 60;;;
PR-240169;;;PO-240131;;?Operation?;;7,177.65;12,335.81;-4,201.56;-59%;;?Open?;16/01/2024;14/01/2024;2;Technical;Direct Purchase ;AOG for HZ-HC3 4 Y Inspection.;Leonardo S.P.A ;Net 30;;;
PR-233735;;;PO-240132;;?Operation?;;270,000.00;270,000.00;0;0%;;?Closed For Receiving?;16/01/2024;15/01/2024;1;General;Competitive ;This PO is a blanket PO related to the Fream work agreement No,THC-LCD-2023-0261-GH;Emirates Technical & Safety Development Centre ;Immediate;;;
